x,lx,qx,ax,Ax,A2x,5Ex,10Ex,20Ex
85,2358246,0.12389,4.6980,0.73407,0.056157,0.033540,0.007056,0.000022
86,2066090,0.13494,4.4742,0.74674,0.057880,0.031056,0.005783,0.000011
87,1787299,0.14689,4.2571,0.75903,0.059579,0.028544,0.004650,0.000005
88,1524758,0.15981,4.0470,0.77092,0.061251,0.026021,0.003661,0.000002
89,1281083,0.17375,3.8442,0.78241,0.062892,0.023511,0.002817,0.000001
90,1058491,0.18877,3.6488,0.79346,0.064496,0.021036,0.002113,0.000000
91,858676,0.20493,3.4611,0.80409,0.066061,0.018621,0.001541,0.000000
92,682707,0.22227,3.2812,0.81427,0.067583,0.016290,0.001091,0.000000
93,530959,0.24086,3.1091,0.82401,0.069059,0.014069,0.000747,0.000000
94,403072,0.26073,2.9450,0.83330,0.070486,0.011979,0.000493,0.000000
95,297981,0.28191,2.7888,0.84214,0.071861,0.010043,0.000313,0.000000
96,213977,0.30445,2.6406,0.85053,0.073183,0.008278,0.000190,0.000000
97,148832,0.32834,2.5002,0.85848,0.074450,0.006697,0.000110,0.000000
98,99965,0.35360,2.3676,0.86599,0.075660,0.005309,0.000060,0.000000
99,64617,0.38020,2.2426,0.87306,0.076813,0.004114,0.000031,0.000000
100,40049,0.40812,2.1252,0.87970,0.077908,0.003112,0.000015,0.000000
101,23705,0.43728,2.0152,0.88593,0.078944,0.002291,0.000007,0.000000
102,13339,0.46761,1.9123,0.89176,0.079921,0.001637,0.000003,0.000000
103,7101,0.49899,1.8164,0.89719,0.080841,0.001133,0.000001,0.000000
104,3558,0.53128,1.7273,0.90223,0.081702,0.000756,0.000000,0.000000
105,1668,0.56429,1.6447,0.90690,0.082506,0.000486,0.000000,0.000000
106,727,0.59783,1.5685,0.91122,0.083253,0.000299,0.000000,0.000000
107,292,0.63164,1.4984,0.91519,0.083946,0.000176,0.000000,0.000000
108,108,0.66545,1.4341,0.91882,0.084584,0.000098,0.000000,0.000000
109,36,0.69897,1.3755,0.92214,0.085169,0.000052,0.000000,0.000000
110,11,0.73187,1.3223,0.92515,0.085704,0.000026,0.000000,0.000000
